Rank,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot CasesPer1MPop,DeathsPer1MPop,TotalTests,TestsPer1MPop ,Population
159,Mayotte,42027,,188,,N/A,N/A,N/A,,146815,657,176919,618038,"286,259"
160,Togo,39510,,290,,39216,,4,,4551,33,812881,93641,"8,680,837"
161,Guinea,38563,,468,,37757,,338,8,2781,34,660107,47607,"13,865,691"
162,Bahamas,38084,,844,,36366,,874,1,95087,2107,257839,643767,"400,516"
163,Isle of Man,38008,,116,,N/A,N/A,N/A,,443335,1353,150753,1758422,"85,732"
164,Lesotho,34790,,723,,25980,,8087,,15990,332,431221,198199,"2,175,699"
165,Faeroe Islands,34658,,28,,N/A,N/A,N/A,5,703959,569,778000,15802409,"49,233"
166,Haiti,34306,,860,,33372,,74,,2937,74,132422,11337,"11,680,283"
167,Mali,33151,,743,,32332,,76,,1544,35,804909,37483,"21,473,764"
168,Cayman Islands,31472,,37,,8553,,22882,1,467797,550,222773,3311280,"67,277"
169,Saint Lucia,30052,,409,,29095,,548,,162344,2209,210983,1139752,"185,113"
170,Benin,28014,,163,,27847,,4,,2191,13,604310,47268,"12,784,726"
171,Somalia,27334,,1361,,13182,,12791,,1623,81,400466,23778,"16,841,795"
172,Micronesia,26472,,65,,N/A,N/A,N/A,1,225315,553,82430,701598,"117,489"
173,Congo,25375,,386,,24006,,983,,4377,67,347815,59991,"5,797,805"
174,Solomon Islands,24575,,153,,N/A,N/A,N/A,1,34077,212,,,"721,159"
175,San Marino,24367,,125,,24234,,8,4,714889,3667,196855,5775414,"34,085"
176,Timor-Leste,23460,,138,,23102,,220,,17131,101,278529,203391,"1,369,429"
177,Burkina Faso,22056,,396,,21596,,64,,998,18,248995,11265,"22,102,838"
178,Liechtenstein,21473,,94,,21352,,27,,559382,2449,112457,2929559,"38,387"
179,Gibraltar,20550,,113,,16579,,3858,,609720,3353,534283,15852213,"33,704"
180,Grenada,19693,,238,,19358,,97,4,173545,2097,182981,1612523,"113,475"
181,Bermuda,18860,,165,,18685,,10,,304493,2664,1029558,16622128,"61,939"
182,Nicaragua,18491,,225,,4225,,14041,,2728,33,,,"6,779,100"
183,South Sudan,18368,,138,,18115,,115,1,1581,12,410280,35313,"11,618,511"
184,Tajikistan,17786,,125,,17264,,397,,1786,13,,,"9,957,464"
185,Equatorial Guinea,17229,,183,,16907,,139,5,11512,122,365697,244342,"1,496,662"
186,Monaco,16858,,67,,15992,,799,4,423749,1684,78646,1976875,"39,783"
187,Tonga,16819,,13,,15638,,1168,,156094,121,535009,4965327,"107,749"
188,Samoa,16775,,31,,1605,,15139,,82946,153,187397,926612,"202,239"
189,Marshall Islands,16098,,17,,16079,,2,,268045,283,,,"60,057"
190,Dominica,15760,,74,,15673,,13,,217848,1023,229344,3170187,"72,344"
191,Djibouti,15690,,189,,15427,,74,,15441,186,305941,301094,"1,016,097"
192,CAR,15368,,113,,15200,,55,2,3063,23,81294,16205,"5,016,678"
193,Macao,13314,,123,,3487,,9704,,19946,184,7850,11760,"667,490"
